('70', 'TheBridgeontheRiverKwai', '1957', 'UK', '161', 'English', 'PG', '27200000', '3000000'),
('71', 'CatonaHotTinRoof', '1958', 'USA', '108', 'English', 'Approved', '', '3000000'),
('72', 'SolomonandSheba', '1959', 'USA', '141', 'English', '', '', '5000000'),
('73', 'SomeLikeItHot', '1959', 'USA', '120', 'English', 'NotRated', '25000000', '2883848'),
('74', 'TheNunsStory', '1959', 'USA', '149', 'English', 'NotRated', '', '3500000'),
('75', 'ElmerGantry', '1960', 'USA', '146', 'English', 'Approved', '', '3000000'),
('76', 'Psycho', '1960', 'USA', '108', 'English', 'R', '32000000', '806947'),
('77', 'TheApartment', '1960', 'USA', '125', 'English', 'Approved', '', '3000000'),
('78', 'JudgmentatNuremberg', '1961', 'USA', '186', 'English', 'NotRated', '', '3000000'),
('79', 'PocketfulofMiracles', '1961', 'USA', '136', 'English', 'Approved', '', '2900000'),
('80', 'TheHustler', '1961', 'USA', '134', 'English', 'Unrated', '', '2000000'),
('81', 'TheMisfits', '1961', 'USA', '120', 'English', 'Approved', '', '4000000'),
('82', 'WestSideStory', '1961', 'USA', '152', 'English', 'Unrated', '43650000', '6000000'),
('83', 'DrNo', '1962', 'UK', '110', 'English', 'Approved', '16067035', '1100000'),
('84', 'LawrenceofArabia', '1962', 'UK', '227', 'English', 'PG', '6000000', '15000000'),
('85', 'Lolita', '1962', 'UK', '152', 'English', 'NotRated', '', '2000000'),
('86', 'Lolita', '1962', 'UK', '152', 'English', 'NotRated', '', '2000000'),
('87', 'TheBrainThatWouldntDie', '1962', 'USA', '70', 'English', 'Approved', '', '62000'),
('88', 'TheLongestDay', '1962', 'USA', '178', 'English', 'G', '', '10000000'),
('89', 'TheManWhoShotLibertyValance', '1962', 'USA', '113', 'English', 'Approved', '', '3200000'),
('90', 'ToKillaMockingbird', '1962', 'USA', '129', 'English', 'NotRated', '', '2000000'),
('91', '55DaysatPeking', '1963', 'USA', '154', 'English', 'Unrated', '', '9000000'),
('92', 'Cleopatra', '1963', 'UK', '251', 'English', 'Approved', '57750000', '31115000'),
('93', 'DonovansReef', '1963', 'USA', '109', 'English', 'NotRated', '', '2686585'),
('94', 'FromRussiawithLove', '1963', 'UK', '115', 'English', 'Approved', '24800000', '2000000'),
('95', 'Hud', '1963', 'USA', '112', 'English', 'Approved', '', '2500000'),
('96', 'ItsaMadMadMadMadWorld', '1963', 'USA', '197', 'English', 'Approved', '46300000', '9400000'),
('97', 'TheGreatEscape', '1963', 'USA', '172', 'English', 'Approved', '', '4000000'),
('98', 'TomJones', '1963', 'UK', '121', 'English', 'Unrated', '', '1000000'),
('99', 'AFistfulofDollars', '1964', 'Italy', '99', 'Italian', 'R', '3500000', '200000'),
('100', 'AHardDaysNight', '1964', 'UK', '87', 'English', 'Approved', '515005', '560000'),
('101', 'DrStrangeloveorHowILearnedtoStopWorryingandLovetheBomb', '1964', 'USA', '95', 'English', 'PG', '', '1800000'),
('102', 'Goldfinger', '1964', 'UK', '110', 'English', 'Approved', '51100000', '3000000'),
('103', 'MaryPoppins', '1964', 'USA', '139', 'English', 'Approved', '102300000', '6000000'),
('104', 'MyFairLady', '1964', 'USA', '170', 'English', 'Approved', '72000000', '17000000'),
('105', 'NothingButaMan', '1964', 'USA', '95', 'English', 'NotRated', '12438', '160000'),
